subject_category,object_category,subject_bbox,object_bbox,source_img,y
person,snowboard,"(85, 531, 546, 1013)","(479, 545, 699, 1022)",6725777279_29b707deee_b.jpg,0
person,bag,"(445, 1021, 527, 862)","(572, 668, 543, 602)",6935389590_de5c5ca99e_b.jpg,0
person,surfboard,"(249, 410, 687, 738)","(296, 373, 592, 870)",6148444553_779a53b647_b.jpg,0
umbrella,person,"(302, 381, 519, 707)","(377, 591, 547, 633)",8449584027_4964ce99ac_b.jpg,0
person,plane,"(374, 524, 554, 621)","(290, 394, 365, 776)",6610791839_4f408b20af_b.jpg,0
umbrella,person,"(41, 201, 557, 1014)","(45, 98, 55, 100)",9228419123_90a577dfb3_b.jpg,0
motorcycle,person,"(249, 592, 264, 729)","(126, 464, 353, 613)",7896212776_413749e9ac_b.jpg,0
person,surfboard,"(209, 270, 367, 476)","(268, 333, 353, 471)",5220238976_b0daf80c57_b.jpg,0
person,skateboard,"(313, 515, 176, 353)","(484, 536, 223, 313)",4271356855_4c8b996aee_b.jpg,0
person,umbrella,"(268, 721, 301, 424)","(176, 383, 95, 425)",130033128_fe89d7fe73_b.jpg,0
person,elephant,"(272, 499, 137, 269)","(415, 830, 1, 535)",9210783409_93fee826e5_b.jpg,0
truck,person,"(304, 572, 2, 472)","(267, 459, 217, 361)",7162648307_5a350b2afd_b.jpg,0
person,motorcycle,"(38, 465, 609, 840)","(166, 544, 613, 902)",6921862812_621df0e7e8_b.jpg,0
person,bag,"(538, 663, 877, 938)","(596, 624, 875, 904)",6334247035_d7ee063c6e_b.jpg,0
person,bike,"(423, 673, 667, 789)","(519, 705, 544, 813)",7890896924_a553b5deca_b.jpg,0
airplane,street,"(240, 539, 2, 913)","(522, 603, 7, 1022)",8843742643_a759947d7a_b.jpg,0
giraffe,grass,"(120, 1005, 92, 644)","(905, 1023, 1, 764)",5925756529_5ef3a46e02_b.jpg,0
person,train,"(320, 353, 345, 375)","(226, 641, 254, 712)",3572969356_2b01616f71_b.jpg,0
truck,wheel,"(219, 436, 305, 781)","(274, 356, 505, 572)",10230032614_f611513f39_b.jpg,0
person,phone,"(269, 1010, 312, 765)","(593, 628, 441, 504)",5893396362_849399e760_b.jpg,0
motorcycle,person,"(369, 532, 520, 768)","(345, 495, 659, 734)",7763421512_6a0b9613b5_b.jpg,0
person,ball,"(296, 444, 664, 722)","(221, 234, 655, 666)",2639340643_8ccd02052a_b.jpg,0
person,person,"(75, 668, 2, 107)","(68, 648, 817, 977)",2394657984_a0ca8f25d7_b.jpg,0
person,surfboard,"(192, 598, 525, 694)","(135, 237, 259, 959)",470168958_bceeb41ef6_o.jpg,0
person,bike,"(321, 640, 292, 456)","(398, 685, 295, 464)",6936322480_4e76597d37_b.jpg,0
kite,sky,"(42, 60, 419, 431)","(3, 490, 1, 533)",4433556373_ddfabedff5_o.jpg,0
horse,grass,"(433, 616, 473, 732)","(387, 720, 6, 1023)",3686355168_d2d7b944d9_b.jpg,0
person,person,"(109, 368, 15, 123)","(81, 476, 263, 522)",6536341379_bfeab6b0b3_b.jpg,0
person,street,"(229, 610, 417, 611)","(479, 618, 1, 1052)",3788788844_c300c08cd2_o.jpg,0
person,skateboard,"(293, 562, 357, 581)","(479, 590, 358, 506)",3226579129_c5c2e9650e_b.jpg,0
person,motorcycle,"(206, 551, 408, 660)","(252, 605, 404, 666)",8081364427_9a127174a2_b.jpg,0
person,person,"(131, 740, 46, 277)","(154, 739, 385, 586)",8339575908_ecdb085d01_b.jpg,0
person,bag,"(392, 600, 843, 896)","(439, 491, 867, 921)",8439427202_489a54c16e_b.jpg,0
person,motorcycle,"(297, 435, 863, 937)","(343, 439, 819, 973)",8073566196_1479f7842d_b.jpg,0
person,bike,"(1, 682, 303, 681)","(359, 681, 165, 782)",8737795716_0877c162f4_b.jpg,0
person,surfboard,"(379, 584, 310, 384)","(404, 527, 209, 386)",9356671403_1a840fa02b_b.jpg,0
person,grass,"(121, 624, 273, 469)","(407, 674, 15, 1017)",7395494510_638e25d48b_b.jpg,0
person,street,"(196, 311, 6, 53)","(250, 749, 1, 999)",21604191_3755c03758_o.jpg,0
person,bag,"(378, 644, 65, 190)","(530, 575, 90, 120)",7378129798_4589bb2503_b.jpg,0
person,street,"(294, 843, 497, 655)","(758, 1024, 1, 680)",2787814392_2abe0f2c9d_b.jpg,0
person,bike,"(110, 302, 281, 373)","(168, 330, 283, 529)",4942728226_fde93cd159_o.jpg,0
person,phone,"(301, 795, 262, 542)","(448, 493, 232, 280)",5893396362_849399e760_b.jpg,0
person,motorcycle,"(7, 607, 301, 765)","(7, 683, 6, 1021)",7122873421_aaae369b9d_b.jpg,0
person,monitor,"(158, 637, 175, 597)","(134, 493, 789, 1022)",772311319_d6d7449571_b.jpg,0
person,motorcycle,"(329, 427, 258, 315)","(378, 435, 227, 353)",7709024968_ce77584b45_b.jpg,0
motorcycle,person,"(165, 675, 121, 706)","(82, 672, 226, 618)",8366230936_7b5da87647_b.jpg,0
person,street,"(163, 766, 432, 654)","(213, 761, 1, 1023)",449583699_8c0d2d2b70_b.jpg,0
person,kite,"(649, 884, 315, 420)","(229, 282, 165, 215)",194872763_0593c92057_b.jpg,0
person,pillow,"(193, 867, 336, 638)","(396, 597, 429, 525)",5114751201_376206c4d9_b.jpg,0
person,monitor,"(467, 1200, 159, 406)","(411, 618, 426, 688)",1807338675_5e13fe07f9_o.jpg,0
person,kite,"(219, 761, 1, 365)","(313, 350, 397, 426)",5702585862_4ae1b1d7b3_b.jpg,0
person,skateboard,"(157, 623, 392, 630)","(293, 446, 373, 622)",2958170227_bf708d72b8_b.jpg,0
horse,grass,"(363, 462, 418, 510)","(437, 764, 1, 893)",10131308045_396d053b7e_b.jpg,0
person,laptop,"(188, 429, 259, 421)","(308, 376, 152, 251)",88174066_035cae416a_b.jpg,0
person,skateboard,"(104, 320, 453, 593)","(229, 387, 459, 534)",7916239006_475c5f6123_b.jpg,0
person,skateboard,"(52, 518, 109, 414)","(486, 555, 237, 425)",4142557909_381efb657c_b.jpg,0
umbrella,person,"(31, 423, 198, 820)","(238, 586, 430, 663)",8252946447_07db876128_b.jpg,0
person,laptop,"(215, 680, 753, 1022)","(342, 679, 467, 810)",3760552218_ce8da800b2_b.jpg,0
umbrella,cart,"(82, 329, 13, 408)","(405, 549, 123, 324)",18639687_a10408144b_b.jpg,0
person,street,"(1, 341, 343, 557)","(1, 294, 1, 1021)",5593848954_5a45f3dfd8_b.jpg,0
umbrella,person,"(721, 1162, 454, 745)","(711, 968, 493, 841)",947317936_6816fc0426_o.jpg,0
cat,bear,"(104, 766, 460, 874)","(243, 766, 131, 534)",2784459739_6c85ccf6c0_b.jpg,0
person,person,"(320, 768, 671, 965)","(396, 766, 504, 769)",6120472221_77e3d3ccc4_b.jpg,0
person,kite,"(462, 800, 258, 511)","(445, 498, 241, 334)",4433556373_ddfabedff5_o.jpg,0
person,bag,"(348, 721, 310, 423)","(424, 522, 282, 361)",5002423744_35fbbc72d0_b.jpg,0
person,person,"(95, 1018, 3, 247)","(199, 1021, 332, 751)",8074966620_aa0239f67a_b.jpg,0
umbrella,person,"(120, 766, 609, 1022)","(2, 334, 135, 1022)",3219963856_5fa77f80f6_b.jpg,0
person,skis,"(138, 638, 721, 895)","(515, 638, 735, 907)",3347618976_d35879f780_o.jpg,0
bike,street,"(224, 625, 451, 1019)","(465, 684, 2, 1024)",4340137750_01465eff6f_b.jpg,0
person,skis,"(2, 168, 50, 117)","(1, 33, 3, 178)",6836771089_63a057a857_b.jpg,0
person,person,"(289, 606, 572, 775)","(309, 621, 766, 887)",4194507127_ce2af2e0a4_b.jpg,0
person,skateboard,"(124, 309, 718, 811)","(207, 256, 239, 314)",8990943637_5bbec8ef7b_b.jpg,0
person,umbrella,"(464, 766, 35, 140)","(363, 540, 1, 214)",6796174521_a37181203d_b.jpg,0
person,sand,"(273, 769, 318, 543)","(287, 772, 6, 949)",5327324595_17ed3f0c00_b.jpg,0
clock,chair,"(110, 313, 290, 454)","(55, 662, 203, 575)",2208557378_fc8513bb35_o.jpg,0
person,bus,"(262, 617, 153, 257)","(16, 623, 136, 1023)",5920945567_d978b5c80c_b.jpg,0
person,bag,"(365, 493, 310, 358)","(439, 476, 340, 360)",260871573_a9a64ec789_o.jpg,0
person,motorcycle,"(628, 890, 368, 503)","(769, 931, 278, 627)",7351203646_b97040e8c0_b.jpg,0
person,skateboard,"(30, 456, 581, 812)","(331, 469, 626, 782)",5450713291_453f531b82_b.jpg,0
person,skateboard,"(252, 503, 273, 432)","(449, 522, 334, 395)",2971338356_6a50d8e6a1_b.jpg,0
hat,person,"(47, 100, 260, 332)","(48, 445, 211, 358)",2797293301_713a9a64ab_o.jpg,0
person,sand,"(122, 736, 547, 886)","(582, 766, 24, 1019)",174733606_147c9f7504_b.jpg,0
person,surfboard,"(222, 516, 229, 348)","(302, 429, 101, 545)",7017097427_40209fd608_b.jpg,0
person,horse,"(46, 403, 538, 698)","(101, 599, 520, 880)",8722022301_af1bc59cf3_b.jpg,0
person,street,"(212, 932, 100, 355)","(758, 1024, 1, 680)",2787814392_2abe0f2c9d_b.jpg,0
person,bag,"(637, 751, 641, 706)","(671, 751, 659, 710)",813811775_b31e363580_b.jpg,0
dog,boat,"(304, 413, 406, 589)","(274, 678, 3, 1021)",6274515664_35f4967bd5_b.jpg,0
person,street,"(285, 433, 64, 122)","(377, 432, 1, 357)",6883648073_b7ce5d4559_b.jpg,0
person,elephant,"(340, 472, 222, 330)","(415, 830, 1, 535)",9210783409_93fee826e5_b.jpg,0
person,phone,"(104, 759, 188, 662)","(278, 328, 427, 457)",5931176358_e5cf96dc70_b.jpg,0
person,horse,"(133, 413, 472, 609)","(198, 536, 310, 738)",2557901800_514be27c44_b.jpg,0
person,boat,"(370, 662, 13, 157)","(241, 266, 604, 968)",4869456397_8f42747a22_b.jpg,0
jacket,person,"(320, 567, 523, 768)","(270, 832, 525, 817)",358180128_51bb8befb2_o.jpg,0
motorcycle,person,"(307, 432, 116, 354)","(236, 416, 178, 282)",8073566196_1479f7842d_b.jpg,0
person,bag,"(130, 333, 833, 912)","(212, 255, 886, 912)",8990943637_5bbec8ef7b_b.jpg,0
person,skateboard,"(31, 444, 407, 585)","(371, 504, 401, 535)",5073960523_d526336526_b.jpg,0
airplane,grass,"(57, 576, 81, 881)","(344, 675, 9, 1024)",7475825432_8de7529419_b.jpg,0
person,grass,"(543, 587, 120, 140)","(484, 610, 1, 611)",7721123202_91089fcbb9_o.jpg,0
person,snowboard,"(572, 743, 194, 355)","(591, 797, 339, 397)",5441798399_947485e6b4_b.jpg,0
person,bike,"(114, 254, 99, 179)","(150, 282, 150, 195)",221833288_151076a9ae_o.jpg,0
person,grass,"(649, 884, 315, 420)","(769, 1021, 6, 675)",194872763_0593c92057_b.jpg,0
car,street,"(596, 652, 534, 633)","(549, 958, 1, 1280)",4632619505_df6cd387ee_o.jpg,0
person,grass,"(159, 758, 333, 621)","(235, 760, 3, 1023)",378941452_051bebe51e_b.jpg,0
cat,sink,"(164, 776, 153, 638)","(80, 1023, 64, 731)",3744665785_186bdee5d2_b.jpg,0
person,bag,"(324, 495, 203, 309)","(411, 476, 206, 311)",7397873180_6683ae6830_b.jpg,0
bike,person,"(558, 668, 580, 638)","(475, 642, 577, 655)",8684808811_3d283a10b4_b.jpg,0
bike,road,"(871, 1021, 236, 330)","(855, 1019, 1, 99)",6225578706_25d3693e3b_b.jpg,0
person,car,"(127, 280, 679, 793)","(178, 612, 155, 911)",4018027151_68cc71daa9_b.jpg,0
person,elephant,"(184, 389, 471, 561)","(112, 385, 215, 401)",6244398259_cfcbb61cc1_o.jpg,0
person,horse,"(25, 539, 118, 401)","(178, 777, 128, 349)",3413007462_c9cdedbecf_b.jpg,0
person,sand,"(169, 424, 498, 553)","(318, 612, 1, 1023)",6054335817_cda0e0e9f6_b.jpg,0
person,surfboard,"(230, 618, 110, 296)","(327, 499, 114, 406)",6340199779_a1844a9946_b.jpg,0
person,skateboard,"(1, 848, 54, 571)","(713, 902, 153, 666)",3973218157_a053642dd0_o.jpg,0
person,surfboard,"(195, 623, 312, 594)","(557, 653, 169, 866)",144007437_20fe72bc7d_b.jpg,0
person,person,"(140, 346, 39, 260)","(277, 654, 582, 847)",9234587369_1b2f698224_b.jpg,0
person,skateboard,"(1, 608, 22, 486)","(557, 693, 123, 332)",3987015354_c5756d9dc2_b.jpg,0
person,skis,"(229, 765, 135, 316)","(629, 762, 194, 485)",4302760385_13809e1dcc_b.jpg,0
person,person,"(648, 767, 203, 329)","(317, 560, 453, 749)",3229380320_29c0cbda66_b.jpg,0
table,keyboard,"(331, 592, 6, 1279)","(470, 554, 631, 1004)",68121583_983f022c3c_o.jpg,0
glasses,cabinet,"(393, 574, 158, 393)","(319, 600, 142, 419)",5465451880_49cf298b5f_b.jpg,0
person,skateboard,"(462, 543, 559, 598)","(533, 550, 552, 594)",3725872184_96907519bd_b.jpg,0
person,sand,"(651, 700, 938, 962)","(554, 765, 10, 1022)",3475527366_e262322074_b.jpg,0
person,bike,"(772, 822, 285, 312)","(801, 840, 291, 311)",5344500669_4fc19c8849_b.jpg,0
person,ramp,"(50, 295, 597, 701)","(231, 328, 119, 802)",4813907028_9c13e14029_b.jpg,0
coat,person,"(381, 543, 460, 588)","(340, 642, 449, 586)",3092995689_e17a9e1241_b.jpg,0
person,cat,"(59, 369, 535, 747)","(465, 603, 116, 374)",2184272822_8d512efdc2_b.jpg,0
person,phone,"(120, 763, 38, 420)","(422, 469, 303, 381)",8174126404_192257d449_b.jpg,0
bus,person,"(215, 972, 8, 946)","(148, 270, 385, 449)",7440734920_03007b1f3f_b.jpg,0
person,bus,"(11, 81, 337, 398)","(1, 367, 1, 611)",8147048051_1caef454a5_o.jpg,0
person,person,"(195, 442, 920, 1014)","(1, 574, 149, 386)",8998531909_2a4a852b83_b.jpg,0
person,boat,"(356, 411, 99, 158)","(319, 485, 51, 603)",5415160205_15e9e4f4c6_b.jpg,0
umbrella,person,"(41, 201, 557, 1014)","(261, 412, 893, 1016)",9228419123_90a577dfb3_b.jpg,0
bike,bus,"(448, 562, 745, 931)","(313, 568, 574, 905)",5531553540_2aee4a0092_b.jpg,0
person,grass,"(199, 340, 205, 243)","(207, 765, 1, 1024)",908984325_df6244e5b7_b.jpg,0
person,plate,"(301, 628, 462, 700)","(593, 618, 538, 612)",3364994882_b2a34e424b_b.jpg,0
person,kite,"(122, 736, 547, 886)","(172, 209, 507, 546)",174733606_147c9f7504_b.jpg,0
person,bike,"(475, 642, 577, 655)","(558, 668, 580, 638)",8684808811_3d283a10b4_b.jpg,0
person,kite,"(803, 880, 276, 310)","(743, 861, 418, 588)",248100894_27d190374e_b.jpg,0
person,cup,"(302, 681, 251, 408)","(394, 442, 373, 405)",8252984699_df6b31d1c0_b.jpg,0
person,motorcycle,"(122, 468, 372, 691)","(275, 613, 276, 785)",8019688104_1695767342_b.jpg,0
dog,car,"(431, 635, 361, 666)","(255, 807, 7, 1197)",142866020_ee7b622313_o.jpg,0
person,kite,"(589, 634, 521, 556)","(399, 449, 517, 546)",5086731538_ece3200089_b.jpg,0
person,skateboard,"(228, 375, 152, 209)","(355, 383, 175, 217)",4715741115_79fee53b38_b.jpg,0
person,cone,"(223, 555, 757, 901)","(375, 616, 476, 576)",5614753837_b687009307_b.jpg,0
vase,plant,"(676, 953, 290, 492)","(176, 685, 27, 635)",5845954362_88d2cb3a2c_b.jpg,0
person,motorcycle,"(93, 682, 258, 640)","(195, 677, 11, 742)",6721496819_b7dd80e497_b.jpg,0
person,surfboard,"(63, 682, 22, 353)","(110, 681, 392, 460)",2749003094_33e04079be_b.jpg,0
dog,motorcycle,"(417, 518, 339, 434)","(278, 703, 504, 1021)",3291716257_cf9de8ece1_b.jpg,0
person,basket,"(362, 420, 110, 147)","(402, 419, 121, 143)",221843432_1a0e97030f_b.jpg,0
motorcycle,person,"(378, 435, 227, 353)","(329, 427, 258, 315)",7709024968_ce77584b45_b.jpg,0
motorcycle,person,"(166, 544, 613, 902)","(38, 465, 609, 840)",6921862812_621df0e7e8_b.jpg,0
person,person,"(664, 779, 522, 563)","(615, 786, 464, 566)",477419396_f015de8f22_b.jpg,0
plane,sky,"(328, 348, 503, 537)","(1, 378, 2, 1020)",8614640980_b9d549c11e_b.jpg,0
motorcycle,road,"(51, 677, 2, 1022)","(277, 719, 3, 1021)",6880719187_7660626e0f_b.jpg,0
person,camera,"(71, 682, 548, 1024)","(274, 384, 612, 735)",6035571031_dccb7dd7b4_b.jpg,0
motorcycle,street,"(310, 475, 440, 557)","(292, 500, 2, 889)",8295620910_5ed4cc38dc_b.jpg,0
person,sofa,"(179, 597, 86, 358)","(261, 590, 2, 457)",6915517513_8f95acd872_b.jpg,0
jacket,person,"(259, 363, 553, 651)","(225, 489, 554, 677)",3363659689_68dbf1bb01_b.jpg,0
person,street,"(3, 574, 150, 382)","(304, 574, 7, 1021)",8998531909_2a4a852b83_b.jpg,0
person,bike,"(414, 554, 809, 864)","(490, 555, 819, 844)",9108877160_b796980c6c_b.jpg,0
person,table,"(64, 478, 34, 147)","(251, 602, 70, 584)",8211861948_c79d57c96a_o.jpg,0
person,sand,"(174, 525, 320, 460)","(470, 558, 4, 831)",8717146210_5b0ea2b520_b.jpg,0
person,bag,"(495, 730, 29, 102)","(587, 645, 67, 99)",6512050691_4eb8892c9b_b.jpg,0
