source_img,predicate,object_category,object_h,object_w,object_y,object_x,subject_category,subject_h,subject_w,subject_y,subject_x,y,channels,object_x_max,object_y_max,subject_x_max,subject_y_max,object_bbox,subject_bbox
2354345.jpg,sitting on,boat,91,206,178,167,bird,28,11,172,298,1,3,373,269,309,200,"(178, 269, 167, 373)","(172, 200, 298, 309)"
2322227.jpg,sitting on,tracks,39,31,457,52,train,136,50,110,156,1,3,83,496,206,246,"(457, 496, 52, 83)","(110, 246, 156, 206)"
2370025.jpg,sitting on,bench,228,246,110,85,pigeon,68,48,156,111,1,3,331,338,159,224,"(110, 338, 85, 331)","(156, 224, 111, 159)"
2374989.jpg,wearing,tie,156,57,178,195,boy,498,329,0,0,0,3,252,334,329,498,"(178, 334, 195, 252)","(0, 498, 0, 329)"
2401079.jpg,sitting on,hand,120,230,213,151,bird,185,165,69,140,1,3,381,333,305,254,"(213, 333, 151, 381)","(69, 254, 140, 305)"
2385203.jpg,wearing,bracelet,10,17,91,259,woman,152,101,12,208,0,3,276,101,309,164,"(91, 101, 259, 276)","(12, 164, 208, 309)"
2316258.jpg,using,laptop,63,153,215,196,man,234,139,28,178,0,3,349,278,317,262,"(215, 278, 196, 349)","(28, 262, 178, 317)"
2357991.jpg,sitting on,boat,338,370,161,5,dog,360,184,139,42,1,3,375,499,226,499,"(161, 499, 5, 375)","(139, 499, 42, 226)"
2386289.jpg,sitting on,boat,115,181,238,217,man,33,32,217,292,1,3,398,353,324,250,"(238, 353, 217, 398)","(217, 250, 292, 324)"
2388840.jpg,sitting on,track,79,210,251,287,train,178,262,66,119,1,3,497,330,381,244,"(251, 330, 287, 497)","(66, 244, 119, 381)"
2379223.jpg,wearing,shorts,67,63,288,168,kid,286,114,165,161,0,3,231,355,275,451,"(288, 355, 168, 231)","(165, 451, 161, 275)"
2397609.jpg,wearing,shirt,24,20,261,411,girl,50,35,250,402,0,3,431,285,437,300,"(261, 285, 411, 431)","(250, 300, 402, 437)"
2355023.jpg,wearing,glasses,8,27,0,162,woman,286,107,3,149,0,3,189,8,256,289,"(0, 8, 162, 189)","(3, 289, 149, 256)"
2397160.jpg,watching,kite,31,20,61,183,man,122,28,195,78,0,3,203,92,106,317,"(61, 92, 183, 203)","(195, 317, 78, 106)"
2348451.jpg,wearing,jacket,234,247,139,242,man,337,255,34,233,0,3,489,373,488,371,"(139, 373, 242, 489)","(34, 371, 233, 488)"
2404020.jpg,sitting on,table,142,478,229,6,cup,64,66,310,208,1,3,484,371,274,374,"(229, 371, 6, 484)","(310, 374, 208, 274)"
2392451.jpg,hanging from,ceiling,101,372,3,0,light,40,43,51,106,0,3,372,104,149,91,"(3, 104, 0, 372)","(51, 91, 106, 149)"
2322748.jpg,wearing,hat,10,9,364,126,child,39,23,365,115,0,3,135,374,138,404,"(364, 374, 126, 135)","(365, 404, 115, 138)"
2339343.jpg,covering,forehead,85,141,4,156,bangs,123,156,2,146,0,3,297,89,302,125,"(4, 89, 156, 297)","(2, 125, 146, 302)"
2368220.jpg,walking in,field,89,497,243,2,giraffe,144,115,152,229,0,3,499,332,344,296,"(243, 332, 2, 499)","(152, 296, 229, 344)"
2376778.jpg,wearing,pants,166,249,179,131,woman,289,322,10,86,0,3,380,345,408,299,"(179, 345, 131, 380)","(10, 299, 86, 408)"
2405996.jpg,sitting on,table,79,426,208,4,plate,169,420,108,5,1,3,430,287,425,277,"(208, 287, 4, 430)","(108, 277, 5, 425)"
2365594.jpg,wearing,bracelet,22,22,241,115,woman,245,207,87,88,0,3,137,263,295,332,"(241, 263, 115, 137)","(87, 332, 88, 295)"
2322097.jpg,sitting on,shelf,74,197,62,0,frame,69,102,48,17,1,3,197,136,119,117,"(62, 136, 0, 197)","(48, 117, 17, 119)"
2413998.jpg,wearing,pants,47,71,130,195,policeman,229,77,24,197,0,3,266,177,274,253,"(130, 177, 195, 266)","(24, 253, 197, 274)"
2350173.jpg,wearing,tie,168,45,331,193,man,442,373,55,1,0,3,238,499,374,497,"(331, 499, 193, 238)","(55, 497, 1, 374)"
2409570.jpg,covered in,sand,330,499,1,1,foot,13,16,223,165,0,3,500,331,181,236,"(1, 331, 1, 500)","(223, 236, 165, 181)"
2414573.jpg,wearing,helmet,7,17,175,281,child,38,11,172,281,0,3,298,182,292,210,"(175, 182, 281, 298)","(172, 210, 281, 292)"
1233.jpg,hanging from,rack,102,78,328,123,towel,71,34,415,117,0,3,201,430,151,486,"(328, 430, 123, 201)","(415, 486, 117, 151)"
2358061.jpg,wearing,shoes,41,53,349,152,man,297,133,93,71,0,3,205,390,204,390,"(349, 390, 152, 205)","(93, 390, 71, 204)"
2353412.jpg,sitting on,desk,190,221,180,0,cd,7,74,102,133,1,3,221,370,207,109,"(180, 370, 0, 221)","(102, 109, 133, 207)"
2334333.jpg,wearing,pants,65,47,148,418,man,155,69,55,414,0,3,465,213,483,210,"(148, 213, 418, 465)","(55, 210, 414, 483)"
2373736.jpg,sitting on,bench,112,202,125,138,men,162,90,65,249,1,3,340,237,339,227,"(125, 237, 138, 340)","(65, 227, 249, 339)"
2382027.jpg,wearing,shoe,29,44,296,147,girl,284,91,31,105,0,3,191,325,196,315,"(296, 325, 147, 191)","(31, 315, 105, 196)"
2353549.jpg,wearing,shoes,48,73,424,79,woman,402,146,72,74,0,3,152,472,220,474,"(424, 472, 79, 152)","(72, 474, 74, 220)"
2352072.jpg,sitting on,bench,160,409,130,37,man,266,118,37,190,1,3,446,290,308,303,"(130, 290, 37, 446)","(37, 303, 190, 308)"
2346506.jpg,sitting on,table,132,254,233,161,batteries,32,114,226,296,1,3,415,365,410,258,"(233, 365, 161, 415)","(226, 258, 296, 410)"
2559.jpg,sitting on,floor,165,196,418,58,man,142,46,266,217,1,3,254,583,263,408,"(418, 583, 58, 254)","(266, 408, 217, 263)"
713252.jpg,growing on,stem,50,18,20,724,leaf,24,20,53,710,0,3,742,70,730,77,"(20, 70, 724, 742)","(53, 77, 710, 730)"
2407769.jpg,sitting on,rug,99,120,169,141,bongos,19,44,164,146,1,3,261,268,190,183,"(169, 268, 141, 261)","(164, 183, 146, 190)"
2406853.jpg,covered in,snow,21,69,198,117,hydrant,189,94,139,120,0,3,186,219,214,328,"(198, 219, 117, 186)","(139, 328, 120, 214)"
2404991.jpg,wearing,spectacles,13,18,120,105,man,280,122,92,40,0,3,123,133,162,372,"(120, 133, 105, 123)","(92, 372, 40, 162)"
2315993.jpg,sitting on,bench,34,147,311,76,woman,59,27,273,60,1,3,223,345,87,332,"(311, 345, 76, 223)","(273, 332, 60, 87)"
2335108.jpg,painted on,road,110,397,221,1,line,20,277,265,2,0,3,398,331,279,285,"(221, 331, 1, 398)","(265, 285, 2, 279)"
440.jpg,standing on,sidewalk,164,187,411,8,person,266,58,238,103,0,3,195,575,161,504,"(411, 575, 8, 195)","(238, 504, 103, 161)"
2415111.jpg,sitting on,bench,184,328,157,125,person,215,113,123,266,1,3,453,341,379,338,"(157, 341, 125, 453)","(123, 338, 266, 379)"
2396844.jpg,sitting on,fence,138,494,235,2,boy,227,128,106,22,1,3,496,373,150,333,"(235, 373, 2, 496)","(106, 333, 22, 150)"
2357927.jpg,sitting on,table,371,444,2,55,fork,19,97,356,99,1,3,499,373,196,375,"(2, 373, 55, 499)","(356, 375, 99, 196)"
2361904.jpg,wearing,sunglasses,17,26,33,71,people,24,52,48,148,0,3,97,50,200,72,"(33, 50, 71, 97)","(48, 72, 148, 200)"
2398189.jpg,wearing,jacket,36,34,286,181,man,98,47,272,170,0,3,215,322,217,370,"(286, 322, 181, 215)","(272, 370, 170, 217)"
2398516.jpg,sitting on,crate,63,61,225,103,man,58,44,180,64,1,3,164,288,108,238,"(225, 288, 103, 164)","(180, 238, 64, 108)"
2323530.jpg,wearing,pants,165,114,234,104,person,474,158,19,74,0,3,218,399,232,493,"(234, 399, 104, 218)","(19, 493, 74, 232)"
2351332.jpg,sitting on,bench,103,324,213,61,people,263,72,114,416,1,3,385,316,488,377,"(213, 316, 61, 385)","(114, 377, 416, 488)"
2403622.jpg,standing on,grass,155,498,184,1,person,65,12,189,157,0,3,499,339,169,254,"(184, 339, 1, 499)","(189, 254, 157, 169)"
2328775.jpg,sitting on,counter,60,324,200,69,tray,24,58,194,191,1,3,393,260,249,218,"(200, 260, 69, 393)","(194, 218, 191, 249)"
2384546.jpg,wearing,glasses,12,25,30,204,man,238,82,19,171,0,3,229,42,253,257,"(30, 42, 204, 229)","(19, 257, 171, 253)"
2377422.jpg,wearing,shirt,78,54,172,206,man,206,82,120,187,0,3,260,250,269,326,"(172, 250, 206, 260)","(120, 326, 187, 269)"
2324757.jpg,sitting on,shelf,9,89,97,0,bear,67,60,44,53,1,3,89,106,113,111,"(97, 106, 0, 89)","(44, 111, 53, 113)"
2331755.jpg,using,cellphone,7,18,275,211,man,119,81,261,171,0,3,229,282,252,380,"(275, 282, 211, 229)","(261, 380, 171, 252)"
2391001.jpg,sitting on,motorcycle,135,106,102,110,man,136,96,67,115,1,3,216,237,211,203,"(102, 237, 110, 216)","(67, 203, 115, 211)"
2394113.jpg,wearing,shorts,31,36,100,272,woman,98,83,65,237,0,3,308,131,320,163,"(100, 131, 272, 308)","(65, 163, 237, 320)"
2381906.jpg,sitting on,water,127,448,143,29,duck,18,28,226,149,1,3,477,270,177,244,"(143, 270, 29, 477)","(226, 244, 149, 177)"
2399255.jpg,hanging from,ceiling,45,73,40,171,lights,59,45,49,323,0,3,244,85,368,108,"(40, 85, 171, 244)","(49, 108, 323, 368)"
2401798.jpg,sitting on,table,49,56,243,195,basket,20,55,231,201,1,3,251,292,256,251,"(243, 292, 195, 251)","(231, 251, 201, 256)"
2387152.jpg,wearing,short,75,31,239,301,man,320,43,88,289,0,3,332,314,332,408,"(239, 314, 301, 332)","(88, 408, 289, 332)"
713121.jpg,sitting on,table,619,672,402,4,fork,118,197,787,462,1,3,676,1021,659,905,"(402, 1021, 4, 676)","(787, 905, 462, 659)"
2411136.jpg,sitting on,table,46,162,305,25,figurine,80,54,229,126,1,3,187,351,180,309,"(305, 351, 25, 187)","(229, 309, 126, 180)"
2328029.jpg,sitting on,branch,332,320,0,97,bird,72,122,122,141,1,3,417,332,263,194,"(0, 332, 97, 417)","(122, 194, 141, 263)"
2370661.jpg,sitting on,counter,47,312,451,62,cow,64,31,423,93,1,3,374,498,124,487,"(451, 498, 62, 374)","(423, 487, 93, 124)"
2346062.jpg,covered in,topping,18,31,68,78,food,373,498,1,1,0,3,109,86,499,374,"(68, 86, 78, 109)","(1, 374, 1, 499)"
2332855.jpg,lying on,ground,251,363,247,3,case,123,142,370,227,0,3,366,498,369,493,"(247, 498, 3, 366)","(370, 493, 227, 369)"
2346929.jpg,sitting on,scooter,148,130,150,157,person,203,92,94,162,1,3,287,298,254,297,"(150, 298, 157, 287)","(94, 297, 162, 254)"
2375670.jpg,wearing,tie,64,20,116,54,man,202,59,88,28,0,3,74,180,87,290,"(116, 180, 54, 74)","(88, 290, 28, 87)"
2388608.jpg,sitting on,counter,254,127,243,0,phone,18,24,252,1,1,3,127,497,25,270,"(243, 497, 0, 127)","(252, 270, 1, 25)"
2406055.jpg,walking on,beach,191,324,306,3,man,75,38,314,95,0,3,327,497,133,389,"(306, 497, 3, 327)","(314, 389, 95, 133)"
2398158.jpg,wearing,sunglasses,9,9,164,239,man,120,25,159,229,0,3,248,173,254,279,"(164, 173, 239, 248)","(159, 279, 229, 254)"
2363111.jpg,sitting on,ledge,35,259,53,2,person,41,37,35,145,1,3,261,88,182,76,"(53, 88, 2, 261)","(35, 76, 145, 182)"
644.jpg,hanging from,wing,46,255,309,18,engine,123,107,329,66,0,3,273,355,173,452,"(309, 355, 18, 273)","(329, 452, 66, 173)"
1593129.jpg,standing on,desk,44,100,580,386,lamp,14,7,579,417,0,3,486,624,424,593,"(580, 624, 386, 486)","(579, 593, 417, 424)"
2356293.jpg,lying on,floor,149,121,47,358,cord,54,250,320,96,0,3,479,196,346,374,"(47, 196, 358, 479)","(320, 374, 96, 346)"
2322947.jpg,sitting on,table,183,240,314,256,beer,334,100,130,395,1,3,496,497,495,464,"(314, 497, 256, 496)","(130, 464, 395, 495)"
2341980.jpg,sitting on,wire,25,82,44,212,bird,35,24,27,293,1,3,294,69,317,62,"(44, 69, 212, 294)","(27, 62, 293, 317)"
2416794.jpg,wearing,shorts,30,31,299,71,boy,215,122,159,40,0,3,102,329,162,374,"(299, 329, 71, 102)","(159, 374, 40, 162)"
2338082.jpg,sitting on,chair,160,129,152,23,guy,167,135,140,14,1,3,152,312,149,307,"(152, 312, 23, 152)","(140, 307, 14, 149)"
2417113.jpg,wearing,pants,143,252,216,155,woman,353,327,5,69,0,3,407,359,396,358,"(216, 359, 155, 407)","(5, 358, 69, 396)"
2344117.jpg,sitting on,ground,280,497,93,1,man,75,110,125,283,1,3,498,373,393,200,"(93, 373, 1, 498)","(125, 200, 283, 393)"
2348611.jpg,sitting on,bench,58,396,290,35,player,150,76,187,88,1,3,431,348,164,337,"(290, 348, 35, 431)","(187, 337, 88, 164)"
2347908.jpg,sitting on,steak,270,313,76,186,sauce,363,329,9,143,1,3,499,346,472,372,"(76, 346, 186, 499)","(9, 372, 143, 472)"
2328775.jpg,sitting on,floor,138,490,234,5,cooler,98,51,256,133,1,3,495,372,184,354,"(234, 372, 5, 495)","(256, 354, 133, 184)"
2364203.jpg,sitting on,bench,96,167,174,99,woman,122,76,149,142,1,3,266,270,218,271,"(174, 270, 99, 266)","(149, 271, 142, 218)"
2352568.jpg,wearing,shirt,173,175,144,312,man,316,181,56,299,0,3,487,317,480,372,"(144, 317, 312, 487)","(56, 372, 299, 480)"
2332073.jpg,sitting on,bench,122,169,172,159,man,160,126,136,160,1,3,328,294,286,296,"(172, 294, 159, 328)","(136, 296, 160, 286)"
498078.jpg,wearing,helmet,16,20,418,106,man,24,28,419,93,0,3,126,434,121,443,"(418, 434, 106, 126)","(419, 443, 93, 121)"
2396777.jpg,wearing,pants,29,13,242,361,woman,60,18,215,356,0,3,374,271,374,275,"(242, 271, 361, 374)","(215, 275, 356, 374)"
2328252.jpg,sitting on,bench,11,35,104,424,player,45,32,73,386,1,3,459,115,418,118,"(104, 115, 424, 459)","(73, 118, 386, 418)"
2401888.jpg,sitting on,desk,14,118,211,266,computer,72,66,98,325,1,3,384,225,391,170,"(211, 225, 266, 384)","(98, 170, 325, 391)"
2316572.jpg,covering,giraffe,359,327,14,158,hair,172,167,89,234,0,3,485,373,401,261,"(14, 373, 158, 485)","(89, 261, 234, 401)"
2402804.jpg,wearing,glasses,11,25,171,155,man,323,115,152,118,0,3,180,182,233,475,"(171, 182, 155, 180)","(152, 475, 118, 233)"
2401799.jpg,growing on,tree,166,80,120,12,flower,10,10,249,60,0,3,92,286,70,259,"(120, 286, 12, 92)","(249, 259, 60, 70)"
2402060.jpg,sitting on,bench,40,150,172,175,television,77,136,99,185,1,3,325,212,321,176,"(172, 212, 175, 325)","(99, 176, 185, 321)"
2364072.jpg,sitting on,bench,68,125,148,143,man,60,33,140,172,1,3,268,216,205,200,"(148, 216, 143, 268)","(140, 200, 172, 205)"
2403904.jpg,says,caring,14,75,207,97,sticker,24,85,203,89,0,3,172,221,174,227,"(207, 221, 97, 172)","(203, 227, 89, 174)"
2409616.jpg,sitting on,feeder,246,142,0,252,bird,127,87,138,196,1,3,394,246,283,265,"(0, 246, 252, 394)","(138, 265, 196, 283)"
2334656.jpg,wearing,shoes,80,61,286,333,girl,263,385,107,14,0,3,394,366,399,370,"(286, 366, 333, 394)","(107, 370, 14, 399)"
2326836.jpg,sitting on,chair,68,62,85,432,woman,70,52,77,447,1,3,494,153,499,147,"(85, 153, 432, 494)","(77, 147, 447, 499)"
2366368.jpg,wearing,shirt,92,148,79,79,guy,145,147,27,80,0,3,227,171,227,172,"(79, 171, 79, 227)","(27, 172, 80, 227)"
2393014.jpg,sitting on,table,95,53,124,107,planter,59,54,71,103,1,3,160,219,157,130,"(124, 219, 107, 160)","(71, 130, 103, 157)"
2343010.jpg,sitting on,ground,434,294,62,1,bottle,68,31,287,134,1,3,295,496,165,355,"(62, 496, 1, 295)","(287, 355, 134, 165)"
2390973.jpg,growing on,ground,71,138,299,152,grass,313,326,182,4,0,3,290,370,330,495,"(299, 370, 152, 290)","(182, 495, 4, 330)"
2353606.jpg,sitting on,sidewalk,336,369,161,4,chair,116,136,383,237,1,3,373,497,373,499,"(161, 497, 4, 373)","(383, 499, 237, 373)"
2371693.jpg,sitting on,appliance,204,474,167,25,cat,201,165,28,281,1,3,499,371,446,229,"(167, 371, 25, 499)","(28, 229, 281, 446)"
2403261.jpg,sitting on,hat,13,20,24,276,sunglasses,5,18,28,276,1,3,296,37,294,33,"(24, 37, 276, 296)","(28, 33, 276, 294)"
2416201.jpg,sitting on,chair,232,490,110,8,man,247,242,47,255,1,3,498,342,497,294,"(110, 342, 8, 498)","(47, 294, 255, 497)"
2374589.jpg,sitting on,chair,41,54,204,39,woman,107,102,147,35,1,3,93,245,137,254,"(204, 245, 39, 93)","(147, 254, 35, 137)"
2334389.jpg,sitting on,bench,34,176,272,195,people,96,60,171,310,1,3,371,306,370,267,"(272, 306, 195, 371)","(171, 267, 310, 370)"
2384212.jpg,sitting on,shelf,38,142,243,75,candle,32,27,225,126,1,3,217,281,153,257,"(243, 281, 75, 217)","(225, 257, 126, 153)"
2040.jpg,mounted on,wall,592,290,2,485,handrail,65,250,295,493,0,3,775,594,743,360,"(2, 594, 485, 775)","(295, 360, 493, 743)"
2359738.jpg,standing on,field,206,498,91,0,zebra,124,138,247,109,0,3,498,297,247,371,"(91, 297, 0, 498)","(247, 371, 109, 247)"
2336491.jpg,wearing,jacket,142,286,196,16,woman,277,216,62,271,0,3,302,338,487,339,"(196, 338, 16, 302)","(62, 339, 271, 487)"
2320374.jpg,standing on,beach,179,495,238,1,bench,39,135,239,293,0,3,496,417,428,278,"(238, 417, 1, 496)","(239, 278, 293, 428)"
2416137.jpg,sitting on,hill,63,267,196,231,sign,68,37,135,409,1,3,498,259,446,203,"(196, 259, 231, 498)","(135, 203, 409, 446)"
2355830.jpg,wearing,sunglasses,11,39,98,134,man,343,131,73,87,0,3,173,109,218,416,"(98, 109, 134, 173)","(73, 416, 87, 218)"
2410103.jpg,wearing,shirt,208,453,290,4,boy,488,451,11,6,0,3,457,498,457,499,"(290, 498, 4, 457)","(11, 499, 6, 457)"
2331128.jpg,sitting on,toilet,93,33,341,164,girl,286,93,152,203,1,3,197,434,296,438,"(341, 434, 164, 197)","(152, 438, 203, 296)"
